Accession,Description,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundance: F13: Sample,Abundance: F14: Sample,Abundance: F15: Sample,Abundance: F18: Sample,Abundance: F19: Sample,Abundance: F20: Sample,Abundance: F21: Sample,Abundance: F22: Sample,Abundance: F23: Sample,Abundance: F26: Sample,Abundance: F27: Sample,Abundance: F28: Sample,Abundance: F29: Sample,Abundance: F30: Sample,Abundance: F31: Sample,Abundance: F34: Sample,Abundance: F35: Sample,Abundance: F36: Sample,Abundance: F37: Sample,Abundance: F38: Sample,Abundance: F39: Sample,Abundance: F42: Sample,Abundance: F43: Sample,Abundance: F44: Sample,Abundance: F45: Sample,Abundance: F46: Sample,Abundance: F47: Sample,Abundance: F50: Sample,Abundance: F51: Sample,Abundance: F52: Sample,Abundance: F53: Sample,Abundance: F54: Sample,Abundance: F55: Sample,Abundance: F58: Sample,Abundance: F59: Sample,Abundance: F60: Sample,Abundance: F61: Sample,Abundance: F62: Sample,Abundance: F63: Sample,Abundance: F66: Sample,Abundance: F67: Sample,Abundance: F68: Sample,Abundance: F69: Sample,Abundance: F70: Sample,Abundance: F71: Sample,Abundance: F74: Sample,Abundance: F75: Sample,Abundance: F76: Sample,Abundance: F77: Sample,Abundance: F78: Sample,Abundance: F79: Sample,Abundance: F82: Sample,Abundance: F83: Sample,Abundance: F84: Sample,Abundance: F85: Sample,Abundance: F86: Sample,Abundance: F87: Sample,Abundance: F90: Sample,Abundance: F91: Sample,Abundance: F92: Sample,Abundance: F93: Sample,Abundance: F94: Sample,Abundance: F96: Sample
P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,450098.0079,669565.6567,502069.0214,271454.9053,544336.8363,361668.5718,341501.1611,611995.3961,165858.6279,218113.2464,1093486.232,425344.6198,717544.7362,499429.5577,266990.7783,1349475.511,823083.3543,382146.5543,211991.6822,780529.4134,560494.8978,546794.16,482382.3347,326519.9479,728251.1094,724642.1027,728092.7404,723136.0124,465646.8278,550607.7453,588278.2741,472194.8873,119168.6366,74326.40956,551793.3436,416101.0272,588755.3598,354015.1746,311508.5151,465449.8265,1156873.154,557930.5067,528267.9327,546229.4235,520100.3809,491678.2236,465143.7906,663727.361,370079.7666,651662.2437,295195.0365,487001.9412,454303.1077,462353.6875,182511.5246,584622.7388,648231.2819,376829.8141,478903.4387,418693.9996,569925.0279,616236.9862,321639.6744,953772.1543,524116.4119,677067.0109,294423.5301,196458.1853,277722.1164,316081.0075,129777.1461,691670.3135
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,1034149.472,1047316.981,1239108.426,749533.7031,887483.0361,1022763.759,904353.3633,1313982.284,523890.1052,889451.2957,1266754.262,1116412.061,1630831.024,1336839.403,684940.0603,1884644.381,1575834.353,958477.7816,1018799.349,1608604.306,1132357.921,1668690.211,1264527.658,1242527.814,1754106.162,1377925.037,1489076.547,1037557.459,975962.7141,1353913.175,1345618.339,1380628.609,382735.6917,235034.3179,1200963.44,945081.2887,1119644.186,1077605.575,971502.4815,1456013.033,1248197.1,1546656.756,1271645.218,1226939.169,1422882.1,1065564.219,1106183.588,1578528.839,1142041.437,1418666.594,867763.6063,1733122.638,1578051.181,1413793.421,720199.6175,1530034.969,1606696.893,1280179.285,1326790.45,1132890.723,1361408.641,1398962.877,998644.3375,1434096.902,1276355.006,2034245.006,903844.6388,831997.6758,811339.5561,868855.321,602674.7841,1372511.87
O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,65507.15149,107976.6699,115074.2387,65563.0672,66068.285,79374.11884,93115.13608,153095.8866,76514.9469,78928.02991,79460.78607,215998.8966,192225.3582,115425.0093,76301.06787,296916.9661,181472.9785,162970.0186,108361.0278,174161.1813,137309.0802,179570.6459,163381.1272,128733.1602,219967.3496,233464.7266,200709.8532,87020.23291,55523.60181,161695.6604,243251.5269,104244.4981,32914.9494,9429.0802,177397.9267,79520.46594,87980.92773,162779.4849,95389.5188,146451.959,204898.1816,176160.0163,150257.2319,99677.34894,109221.1043,65191.82471,156480.4949,255280.6297,206116.3284,199890.8535,134244.8556,239077.9206,267939.0507,224344.518,127181.4339,115407.6641,145453.951,87734.04974,176747.137,81416.91821,110098.6654,121233.3529,97797.56497,131089.9414,166738.5667,263264.6206,107295.579,151852.8353,57608.26495,78333.81067,120758.8502,183408.9448
P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,813064.2783,793292.4579,1057838.692,504283.8634,676347.7594,714071.5469,673157.0256,1279494.394,807093.7843,794652.451,1050259.611,937253.1376,1255880.357,774034.5366,482720.7882,1488319.954,1488621.489,750645.0287,652531.2482,1027394.774,845836.5257,1064905.674,886660.4332,907875.9644,1224864.827,1020076.086,1064361.141,787636.8539,645541.2529,881964.1176,1010722.829,901382.894,276693.4953,155330.4949,879234.0615,763167.5724,899340.8165,872709.1661,780519.4336,835205.3631,1024632.521,1077475.054,923869.6149,1019370.935,1039996.216,849654.0425,770649.1863,1238115.62,963377.6935,1154287.291,593737.1979,1034322.008,1321276.02,936974.8254,557661.3328,1320625.777,1122269.707,690545.6331,892546.9893,775907.9388,763839.0854,916868.2249,863094.4344,950571.7432,1007009.323,1274208.142,752014.8239,775531.9682,470637.5992,623302.4224,515068.8474,1088196.459
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,885859.2689,1240883.506,659555.2083,458718.8604,692266.2916,2092096.785,564065.9088,2117101.75,3233901.368,911588.3466,1451606.791,4778524.872,1063692.599,559164.0923,471586.492,3939153.55,3242183.306,2040532.16,2650168.69,1256066.155,1808224.532,5036085.712,5141894.075,2681981.144,2879634.472,1609445.24,3528627.652,5428149.693,1230668.778,1418577.262,4724727.749,3769160.51,384186.2558,161626.853,3894298.355,1579732.548,550828.4579,2901507.302,1643144.917,2183766.602,1451845.096,3941884.393,1182593.098,1397548.586,1437049.388,836398.423,3027359.54,3675067.266,1347590.607,2874446.056,806588.9465,4689330.03,1412183.088,2603583.692,4046111.786,2277095.045,3330371.059,1256999.782,2187889.317,965143.7073,1884897.262,3091155.223,1989315.139,3725593.516,4408370.615,4445358.391,424424.2431,1125052.261,1411391.834,890334.1059,632141.519,2320606.014
P14625,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,796390.9684,435205.3775,437235.2523,377584.21,429692.1933,338495.12,346781.0969,442434.3657,220405.7779,207303.4833,314501.6832,430107.2894,638647.0374,598760.6107,253784.1429,482997.6428,657987.3403,451917.2518,210922.1862,473340.6017,323041.4333,394361.0767,582726.9645,308288.91,617787.4186,520491.4362,457525.9027,521599.0181,361114.6596,861921.7357,460862.7152,195007.9087,115997.5063,45815.22391,399092.735,359816.2577,481728.2686,377817.9409,331985.6351,363054.1071,634742.9636,303622.0009,405111.8263,653567.7393,566286.852,385934.9879,471652.7453,758671.5753,405058.8445,412413.1085,385875.4931,446907.3595,652873.9777,650360.0474,389073.1577,534275.7263,550807.0529,426669.4171,479099.863,415200.099,367375.9366,345374.7998,596552.6114,421201.7816,478465.9517,526466.6274,263611.6443,276566.1898,190200.4224,385431.699,191818.0062,386130.3755
P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,59878.65677,78465.33649,129501.4547,35421.72031,73475.32739,126089.1383,59073.29565,165258.2896,63399.31775,62498.53159,99765.96439,137746.5076,220250.4804,118695.2668,36605.87646,246750.3504,227052.3953,86093.44685,79170.73257,99916.68634,69851.47144,76511.43396,184252.5237,101868.652,127457.3304,148771.0745,125603.2036,126196.8874,71862.06683,92852.07541,222349.0237,134480.9128,26082.89444,20404.02133,169383.5082,65002.4823,54667.53323,169228.4982,69529.23227,145192.0409,152255.7776,160864.055,125234.0005,66896.07999,82855.14493,155818.1882,100846.8517,259693.095,80628.36816,101447.2959,109811.32,210108.2459,226562.1165,234628.968,166049.5799,139748.789,101655.9163,67637.69272,115001.1837,75576.95691,160050.0534,65484.93341,57800.64175,95695.1431,86144.6709,212665.0603,93528.73975,60477.24866,61982.85974,43713.52597,178587.0266,126060.058
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,227834.7015,200449.5262,340100.6626,201170.6757,300019.7863,263025.2651,211237.4276,378292.3759,213445.9165,272412.8207,338929.1125,272241.1556,524394.2443,269301.5758,172575.1304,585579.4997,380150.8488,285113.6219,273277.67,325672.8835,310307.1236,354106.4416,322632.4514,284385.1083,429381.1175,336293.7944,371531.9295,206055.9731,257767.1436,329079.8856,401720.5532,366211.5611,84395.05048,61370.74216,477057.4838,190980.2291,253691.3035,305228.7723,300089.6024,380374.1456,310406.9391,457428.5688,287107.3053,305039.9577,324875.9723,233167.3376,374081.2706,468478.8586,368745.3478,409821.7599,245451.7173,520622.2014,481727.3158,383428.8229,252789.2144,521094.2044,323837.8446,272821.6338,278408.0354,300808.1948,250464.7997,287818.424,231444.9974,329470.3546,346747.4682,528940.7745,220282.7254,240771.2421,251534.8272,209047.7804,211740.012,341070.2734
Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,98499.53023,138233.0778,151109.8741,79360.29956,109888.0727,163545.84,124035.7939,223586.8427,80004.00424,98599.8989,166214.6042,166853.2938,244503.5872,204426.0388,79300.32584,338781.9387,241783.202,270813.0988,131951.4321,261357.3004,169871.3654,316136.6497,202584.8652,117562.9784,223725.5824,243052.0528,240125.8096,233277.7163,204752.3467,169635.4305,244493.3035,172028.5875,55131.22528,39331.16293,214436.5255,104971.3148,169215.8969,182202.5064,253962.0197,179004.1195,189582.2878,194860.3247,174655.8009,174719.1297,184566.897,142247.9714,170916.0659,266395.3248,169674.4048,198766.9593,97463.82132,195116.6891,329256.236,254679.405,106611.532,221122.0256,177639.4977,98527.53687,202404.3868,160579.1532,140253.4431,164842.9959,110958.668,159479.3473,161451.9028,336164.6113,96558.22226,81999.78979,109138.7288,91020.04486,117480.46,225469.5898
Q9Y490,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,45330.24973,66039.10333,81543.38409,41003.76425,109890.7891,86369.6792,41900.65854,102788.7252,16159.06958,52660.61679,85413.80565,125385.9931,189748.9073,115001.4069,31275.97035,151528.2727,239739.3182,126724.144,315760.6495,107122.0481,72261.46161,82358.75082,89267.0058,72134.591,149298.5726,93009.01547,97247.99609,104838.7448,67196.48138,82057.94827,147831.592,96580.0712,21815.98694,9103.250519,103807.2353,56107.34271,68994.73788,122903.8766,115810.181,105140.3538,110031.1623,96280.46716,124160.9774,110189.7704,74474.02155,97044.1864,88096.03885,162040.4639,140037.0915,83672.61131,112885.8828,214262.0704,749326.4996,178167.7597,477179.1023,135668.1194,96129.35742,93287.48151,101250.7115,87706.87006,112238.2411,93854.90332,81360.53912,120239.7142,66391.93716,154695.4698,337924.1338,146077.0333,49627.23911,58042.67935,269288.774,332222.8932
