"","F1","F2","F5","F6","F7","F10","F11","F12","F13","F14","F15","F18","F19","F20","F22","F23","F26","F27","F28","F29","F30","F31","F34","F35","F36","F37","F38","F39","F42","F43","F44","F46","F47","F50","F51","F52","F53","F54","F55","F58","F59","F60","F61","F62","F63","F66","F67","F68","F69","F70","F71","F74","F75","F76","F77","F78","F79","F82","F83","F84","F85","F86","F87","F90","F91","F92","F93","F94","F96"
"P49327",619896.620936646,869844.601723554,553200.424917071,481110.656559758,650962.813063434,488625.93718203,493377.779197364,243624.661669514,335274.820466761,1152963.86966741,403870.233594406,564164.598715919,482737.089165791,481298.779738008,519276.22857411,380794.118143085,260165.776996026,657830.017668483,536368.587885384,446278.681882482,443191.650054354,365343.265780214,548869.914441586,590545.455050199,550826.406249864,682553.179603937,557481.757973141,491342.914207005,436178.527030711,442446.156900381,420390.495133613,446664.545775909,566947.867852994,618334.260978084,361297.182310824,317621.64649781,453210.017849977,1025426.89487867,452992.290649735,558101.268091637,536562.874832952,463097.322674449,600570.543467691,470558.754782955,440205.471910379,361092.469278749,516082.146500437,425995.568899458,358046.415239124,303927.490945577,362936.404684966,223118.273451003,438702.660809186,624259.721007332,476213.654344275,472811.529726928,458267.31926511,585974.05715764,640944.47999714,403369.870346819,860864.516183784,520490.346325326,391506.537220631,407005.67555485,297181.036264674,424325.584830697,526659.244877861,231020.282234176,593434.703683626
"P08238",1424280.38334852,1360588.03658808,1365300.94183087,1328429.30804134,1061325.29566185,1293964.88217733,1059304.80084636,769526.139504232,1367228.39351469,1335656.41074593,1060047.73276712,1282229.64201634,1292158.12748112,1234727.34644658,994180.37724659,955085.679819022,1250316.62320396,1355731.3547328,1083615.96412662,1361940.05406949,1161792.33561056,1390264.73668475,1322038.63012529,1122936.91598694,1126535.9994722,979329.103403164,1168442.21218746,1208184.32117279,997707.804097421,1293647.68359017,1350174.43791976,972153.425993364,1287696.46444224,1175894.79022985,1099771.66467467,990567.521570578,1417724.6506627,1106374.43009553,1255754.21730085,1343459.94673787,1205226.19148837,1266934.06732592,1301555.47141982,1119061.20698545,1046931.42595358,1114307.23785206,1123509.16149906,1252268.5188713,1274200.97377155,1055711.76577059,1109793.4656031,880435.882330428,1148142.84064484,1547281.32099348,1617809.50634631,1309912.9628187,1239967.12430918,1399745.76613297,1455053.09452987,1252404.69071921,1294400.48143047,1267524.62625375,1176279.75567554,1249458.21309349,1258557.54539561,1239628.07176134,1447700.67295477,1072839.88670023,1177578.62232685
"O43707",90219.599160852,140274.403988261,126793.558320602,116200.111660548,79009.8956929193,133230.793378179,123422.674445442,112390.463415701,121324.960746952,83782.8705227646,205093.754017612,151135.861780888,111567.151257568,137546.364306538,114489.745626958,162393.259387683,132985.552551434,146783.00523318,131398.658114092,146560.7298312,150107.386076939,144039.570826097,165785.480854764,190261.554903394,151843.688314151,82136.6045171334,66473.9740465584,144291.499118442,180358.679510196,97676.9948232221,116113.872494903,143599.7104171,108348.587646456,92401.0644193132,166127.820082369,97261.4697552124,142600.751302577,181617.237289936,143027.004880269,158742.839518431,97913.372297444,97250.459408146,79629.9036981291,158302.160140595,169310.377528142,201110.843384934,158303.019297793,193728.574542437,175771.357754198,179250.465218842,176104.992725297,155477.863707412,86602.2581030041,140075.071052621,110872.735844676,174498.81848139,89112.1269628135,113199.032317983,126094.100277813,122648.398944479,118320.375019436,165584.99668587,152229.865470483,148323.435970323,229706.80954459,88018.4157922198,130521.051872652,214966.536819834,157359.988835656
"P07900",1119791.22296947,1030580.28019722,1165570.44741841,893762.96348278,808832.345539674,963165.048824391,1031501.39139943,1185515.35500587,1221507.4611007,1107386.03726101,889934.011149803,987427.266757379,748163.926926658,870190.827541511,939158.529380912,747988.457637409,800815.850133102,865888.089199494,809427.78364679,869147.359807018,814624.566781044,1015822.68369968,923158.844690115,831308.71660391,805224.650264945,743434.194652323,772854.985850879,787033.643218157,749399.755522151,844594.907891633,976090.008311944,711720.58754535,1039834.55868461,944523.442346,890660.585510277,795836.568204199,813242.192752106,908211.709095235,874818.435213925,976044.108889411,1001331.26461789,926012.51779079,1037827.51720743,779620.686781722,821158.359300652,939982.300004997,914134.689521302,856821.369339592,760439.036967298,883929.911107581,735502.45970732,681734.668632103,991001.553398864,1080768.22848373,872667.838704411,881193.312183451,849243.723220515,785348.714262736,953629.27054772,1082410.9020457,857975.85945296,1000042.3939808,736796.815295485,1039571.4680981,1173142.2318399,719076.957616959,1038556.49445095,916889.869073641,933643.573523466
"P08670",1220047.98461255,1612053.73701763,726725.222899458,813006.240795266,827869.037179337,807075.537992464,1706762.7737173,4750178.73129033,1401256.56873404,1530563.5626758,4537271.34763988,836320.967874349,540475.112298172,850119.260993696,2045465.639282,2033310.61255576,3252406.83619798,1058612.27873163,1730390.12953625,4110317.66213187,4724145.88092493,3000869.49116506,2170329.30793869,1311613.78574722,2669524.33487697,5123518.631062,1473381.440358,1265888.26962307,3503146.18253203,3531699.78592053,1355291.58432355,3152348.65738592,2152424.39052209,578501.922355313,2961190.6152084,1675390.45860274,2126340.68018629,1286883.53039274,3200476.07940114,1249378.70874898,1372816.35657418,1279548.61902266,1021636.16639098,3062602.49886414,2437423.57960728,1314864.6961411,2276409.75815551,1163987.44777771,3447620.35850931,944746.481846744,2043749.90406211,4946325.87098597,1708738.96764159,3207214.10119013,1588516.71841795,2160058.1897095,1056365.31660952,1937975.77202253,3215092.4422981,2494809.73139983,3362680.74632841,4377871.5873708,2570479.49811002,586716.271373079,1701859.33594641,2156434.90389057,1483488.9688913,1125294.52619332,1991018.14174439
"P14625",1096827.93878374,565383.012810424,481763.895104728,669207.973895094,513861.308382603,496180.56326361,356681.253128238,323747.300642498,318658.49182804,331608.270015408,408392.450155625,502131.827325475,578748.19353418,457491.449975769,415118.569383628,450317.893584177,258853.24315061,398931.354839217,309136.226016849,321866.900508653,535383.877787596,344944.552109622,465615.39448864,424173.327626414,346133.58266972,492326.563990172,432333.741464136,769148.529152008,341706.347369101,182722.223577738,409203.717513383,323056.769837483,490258.487210623,505930.159273996,385589.565836784,338500.615304956,353506.971087674,562622.188923604,246515.334844921,427990.059554393,642001.638889893,504221.751526392,471408.279441847,477143.483377569,503175.548355806,395222.088760639,326609.442755411,556856.416545789,328568.665699104,436770.839958795,510516.826696878,475637.532382729,400922.111265595,530438.235199622,539197.788262616,473005.455404327,454443.188842246,377721.204602655,359222.306384062,748139.513461322,380172.210205646,475155.71588841,304423.525201171,364411.891046905,418359.900632435,290603.091018089,642212.47949335,341461.122097529,331289.576111162
"P21333",82467.7655676162,101935.708149424,142690.061951348,62779.3669669974,87867.8469266607,84523.1224293263,133227.747196125,93125.3172203635,96070.2034568104,105192.50174171,130792.095659712,173170.420773905,114728.106715717,65988.659921586,143245.408747664,85788.7577481797,97161.9024891091,84209.761236422,66844.7388995822,62446.5738562522,169283.106223338,113980.864696531,96062.3240096927,121240.653229449,95023.0065670601,119114.641331601,86034.7133411133,82857.9142076192,164860.532700374,126008.486421863,92012.4725850003,137112.215342213,88567.4784153404,57414.0144910947,172709.488047896,70893.6936322163,141373.964929308,134956.169318893,130607.980532667,132306.449361806,65712.2290566054,73774.2120482389,190327.35125881,102020.858751056,172236.86735485,78670.3278060553,80340.9108489632,158468.571455809,154472.698961544,151569.413556897,184178.035956216,202993.732345121,104867.911407283,97896.6855196791,85476.2325495263,113538.306872893,82720.1953561515,164557.046186697,68110.495689231,72488.0642046204,86373.4097231858,85548.684553265,122971.227375553,129292.410470091,91483.5459758018,94702.2640817472,72836.1781696389,317908.249089585,108156.171669453
"P52272",313784.907093697,260407.529177137,374736.9844494,356543.035240547,358788.366027284,302242.269679273,304971.333931962,313524.173270046,418741.919899443,357364.372458731,258496.508449742,412301.356945621,260300.690668258,311097.634920253,239833.909922762,284104.590242518,335378.712095589,274477.034470398,296950.060293853,289012.150391921,296420.490990768,318198.581354061,323616.914801857,274061.872894963,281076.278031742,194491.986575261,308604.014421771,293659.272645201,297855.431497633,343139.881813761,297719.920864761,386167.515034383,260215.252096165,266436.682155262,311507.255350805,305978.645818279,370371.549202942,275137.877138522,371393.233926102,303321.366389467,299641.706581253,289269.530456882,284807.0708441,378436.131876769,310710.344559758,359790.456515471,324557.231259735,354211.050389943,382764.209205931,322274.208407406,300982.3046689,309031.953941408,391030.65760282,311862.337049013,344774.702942151,274866.535648751,329239.409152433,257517.862298787,299358.257026794,290256.289954937,297376.408118973,344348.518216756,305854.173494622,304514.790085015,364213.112936713,384314.594892408,348318.764988931,376924.896274228,292629.208858509
"Q00610",135658.289709627,179581.039291321,166499.112668187,140653.512169525,131413.206229327,177472.620717554,180250.996350717,117515.43294406,151563.758494121,175255.460604345,158429.366697263,192239.25868065,197593.493213478,142953.064905981,152538.948347351,269854.677423536,161936.763281342,220271.87520198,162559.310957853,258022.22782127,186126.054429138,131541.251123374,168617.994102958,198074.724870193,181663.172025506,220186.028991785,245133.632127885,151376.66966384,181279.393927396,161190.621634196,194486.097634702,173581.639523463,143025.994220822,177717.255246642,185950.368502339,258945.842360452,174296.896410626,168041.566208519,158210.07057796,184519.290170896,171627.148752713,164338.345046251,173751.729058424,172905.782615225,176682.003121915,165553.903055866,157412.954334259,140649.912351519,143450.826732724,220271.488329211,199917.141567096,130331.391411796,165930.632792959,171070.397820128,124512.861325648,199829.694282688,175756.466863934,144202.965408383,171452.234536935,139153.801870083,143944.34827622,160334.908228915,194383.481675229,133480.311400242,124040.555836681,166750.691396282,151659.058776939,209130.573770576,193446.901798586
"Q9Y490",62430.9997836836,85792.5685994409,89847.8751028632,72672.6522695813,131416.454724133,59952.2077222353,82866.1020799862,23735.5626847172,80947.7605388397,90059.6907426305,119055.626815204,149188.769345039,111157.706949784,56380.5478991598,151249.479588491,126275.660787549,387515.745284921,90282.4385404604,69150.9918724002,67218.9965551888,82014.5945446322,80711.4150947102,112523.679966279,75797.4883875073,73571.3477541707,98955.1306834151,80448.9804994905,73225.6162049842,109609.633545984,90495.4341626671,76960.1282115787,84029.6682468488,76447.6322838833,72461.0138120842,125431.980029754,118082.872818488,102375.506251157,97529.1999015306,78171.5802234962,131172.828493054,108239.756848263,66311.6607008126,118536.630196668,89121.6075121499,107470.481211149,136636.324717,66264.2975953059,162905.468988479,157526.612808567,501297.303633788,139857.360035207,583346.052614561,101805.764671291,92574.4985149927,117890.811215543,99962.7480650514,95996.5804667087,115398.858246219,97617.9352274316,102034.645375769,108527.076329701,65932.6088270079,89450.9505412334,467140.110428139,220969.790921525,75824.3798940154,96711.6433819859,479369.214391865,285038.392330913
"P06733",1167010.68601379,1501761.01574209,1288667.06819492,1459295.38829315,1458379.53682189,1298763.30277069,1386800.58889096,1330186.42467195,1959243.91123811,1142636.85999121,1088293.40120232,679842.073791063,1363567.87230403,1602954.98773415,1499510.36336051,1695254.65598631,1267652.82774953,1029547.33719588,1334366.4887661,1398995.66416408,1067985.57323288,1235827.67544599,1331941.53518291,1320136.09863933,1468670.76520744,1278553.64610542,1410868.77898015,1248020.0506085,1075137.90093814,1349905.16227438,1531811.01961083,1409263.04652799,1186261.68834025,1422962.6958372,1531117.92884521,1733301.29635096,1227026.46609984,1343341.64559167,1362058.33871381,1397947.19999522,1375248.21301044,1326306.45029772,970006.822654142,1297506.61808508,1364559.79112676,1546902.08266797,1479595.12345665,1568107.08515908,1100453.52787832,1230517.97397879,1218015.50490767,1573790.15027739,1521424.44150827,1366035.32465445,1143855.43642035,1251399.76920292,1794324.54205688,1220415.6511655,1225014.85512438,1266776.78290366,1137330.97264338,1365982.29176555,1661533.13190759,1370920.58509468,1509073.47628661,1263431.98316931,1439856.51306399,1711884.65974066,1267991.93920658
